"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,GM25256_day60-1,GM25256_day60-2,GM25256_day60-3,NCRM_day60-1,NCRM_day60-2,NCRM_day60-3
HOXB9,23026.028835501,17.984527508238,1.29122714044317,2.54983058762828e-88,3.02389656330647e-86,0,0,0,0,0,0.88197706232643,54503.5637608261,40805.2943405979,36376.6837426142,37350.0515736598,53593.9969309325,38280.5207906081
HOXC6,3061.65070150248,16.6132430148785,2.48856943833025,5.44226024404807e-64,3.20391127270572e-62,0,0,0,0,0,0,5679.46459543708,3918.01816248346,4302.72960092104,3360.08448757716,4532.82561107389,3720.94175036676
HOXC8,1892.72307562395,16.5292237090131,2.54722685845404,1.3095049584115e-55,5.76638577531071e-54,0,0,0,0,0,0,4399.28101903151,3239.69716775024,2667.30491318727,3666.83776285892,5663.83445779304,4088.97487028707
HOXB8,4914.77443313722,16.135009351601,1.30905334954446,1.18170910331694e-68,8.02048430660361e-67,0,0,0,0,0,0.88197706232643,18669.2238203712,12193.2334906923,12688.2093304199,8009.66885457953,12737.0348618864,8038.35097094919
HOXA9,1936.0783297375,16.0563618807578,2.51215229794962,1.45141763358933e-56,6.59461538912993e-55,0,0,0,0,0,0,4122.07591390432,2614.76951073992,3617.82286804806,2090.46676488317,2692.73867910595,2135.86117526168
NEUROD6,696.180745698871,16.0434565378123,3.35247493063574,1.56685849730242e-21,1.46725489271336e-20,0,0,0,0,0,0,4402.88108533186,1996.61002330011,3838.66331679969,656.11117213045,1148.58929511375,539.358882641839
HOXB5,1153.75826043898,15.8747755128293,2.56494373124254,7.57563410258885e-53,2.9732327391881e-51,0,0,0,0,0,0,3371.82209691073,2095.12449149308,1795.56629969401,2172.83569991253,3003.32660074385,2313.53233660252
HOXC9,1364.20187511204,15.8732528014015,2.51039723153393,1.24194476914754e-59,6.31546217747629e-58,0,0,0,0,0,0,2998.13521493408,2297.41755976717,2568.7231144268,2107.50861350993,2616.55673606269,2360.48828638546
HOXB6,971.208569080508,15.6466018553985,2.53767385024241,2.25935786919058e-55,9.84348885980246e-54,0,0,0,0,0,0,3059.33634204008,2313.96197427286,2422.78761320496,1445.71682517056,2021.75156537879,1369.33702204834
CARTPT,1375.22513844024,15.346116311957,1.68135193554174,1.02244945130246e-29,1.50212274039739e-28,0,0,0.552357996085961,0,0,0,295.925449889026,1349.12180105477,719.34578920851,8484.00030802448,13897.3444559298,16268.3329802017
HOXB-AS3,1292.07029712052,14.6173424987955,2.47342355494185,2.55556027200617e-49,8.69049222933777e-48,0,0,0,0,0,0,1744.59212915112,1139.30854436899,1808.05045761564,519.776383116331,776.469804094752,527.937165127071
BHLHE22,544.264365604142,14.4869104866927,2.66136484340656,8.70166432208681e-31,1.34834751405921e-29,0,0,0,0,0,0,747.373763953307,973.112380470941,504.532175315603,1184.40847956016,1277.5125833408,1234.81457131885
HOXA5,667.584947866068,14.4374769074429,2.5138842092375,1.87689010448524e-43,4.98430395572677e-42,0,0,0,0,0,0,1504.8277135476,1012.96937905283,1030.15827263672,741.320415264275,744.238982037989,703.070167020185
HOXC10,1323.10194544397,14.3741738200233,1.35770447567462,8.09236801422539e-48,2.55609893526254e-46,0,0,0,0,0.512790638632332,0,2933.33402152772,2356.07502937825,2591.10850104489,4891.01055588154,4632.44815197662,3799.62469324627
HOXA10,394.358182216213,14.2727181460948,2.55472404686686,3.06035859111171e-41,7.38668476987653e-40,0,0,0,0,0,0,1430.66634776033,869.333780389805,877.765448351975,707.236718010745,741.308907305556,361.687721300998
