"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,NCRM_day0-1,NCRM_day0-2,NCRM_day0-3,GM25256_day35-1,GM25256_day35-2,GM25256_day35-3,NCRM_day35-1,NCRM_day35-2,NCRM_day35-3
HOXB9,23026.028835501,17.6968853833221,1.2898987642827,1.42170681685321e-85,1.77343391224943e-83,0,0,0,0,0,0.88197706232643,29809.3235680696,29046.3491083157,27726.1650003863,40575.8699927795,43086.2301267206,44082.4651731972
HOXC6,3061.65070150248,16.8295077446314,2.49498337515217,9.71555037752514e-66,7.13033691523834e-64,0,0,0,0,0,0,3359.30550947289,4465.69844271198,3913.36572445402,5704.45185665278,6347.8760598569,5665.61989287118
HOXA9,1936.0783297375,16.555935153056,2.49317938332974,1.23220932964303e-60,7.75737036701162e-59,0,0,0,0,0,0,3411.25807174259,4025.97459841192,3750.56846402192,4384.91136908271,4351.02196938751,4865.69286422562
HOXC8,1892.72307562395,16.0985252401888,2.50047359181466,6.14344966870132e-53,2.93233931199535e-51,0,0,0,0,0,0,1343.72220378915,1219.11461024507,1155.15950823354,5225.44058376775,4889.55710508773,4522.32196162736
HOXC9,1364.20187511204,15.9589146108837,2.51395760772821,2.65939524423581e-60,1.64338871860649e-58,0,0,0,0,0,0,1870.29224170915,2141.56922174081,2195.8156801823,3396.76232816266,3092.73035073556,3120.85998139301
HOXB5,1153.75826043898,15.9143586455788,2.56666117947597,4.03678527224482e-53,1.94618289957148e-51,0,0,0,0,0,0,1446.74677642568,1669.37076219304,1685.61373959365,3732.67274908518,3503.04283507858,3101.78382013755
HOXB8,4914.77443313722,15.6798010048328,1.3066406560719,6.17592519031836e-65,4.40921637789644e-63,0,0,0,0,0,0.88197706232643,4597.36148491689,5173.11843972964,5397.23549059354,12131.9395969056,13080.4200737854,12664.0275854571
HOXB6,971.208569080508,15.380988806192,2.52592414668144,1.84816152709052e-53,9.01381686650036e-52,0,0,0,0,0,0,1274.15860346193,1373.58845574769,1358.46135020856,2181.15824886011,2297.74991232095,2154.33447778311
NEUROD6,696.180745698871,15.3773778100354,3.30705152057583,7.75460403993416e-20,7.96710773300645e-19,0,0,0,0,0,0,127.680025917056,47.3953844155752,86.4617029089165,3146.71241841765,2646.51552401252,2248.44353997671
HOXA5,667.584947866068,14.897532146306,2.5349209558556,2.46064794549219e-46,9.1741157567767e-45,0,0,0,0,0,0,1316.42509479999,1738.70845420842,1504.90099117141,1074.00955209755,1208.7121934605,888.949114504366
