"",baseMean,log2FoldChange,lfcSE,pvalue,padj,GM25256_day0-1,GM25256_day0-2,GM25256_day0-3,GM25256_day14-1,GM25256_day14-2,GM25256_day14-3
HOXB9,28484.5648342728,16.8672015480558,2.44776473064121,2.70575829889005e-41,8.48137985957825e-40,0,0,0,14649.4249259773,15711.1960327376,13631.9318704251
HOXB-AS3,2007.53402119572,15.6389405299751,2.56304656821003,1.56084707785522e-35,4.02296149962491e-34,0,0,0,5924.60879066217,6173.7954019285,4982.47209673174
HOXA-AS3,921.433036596292,15.2108374186484,2.64380002150598,1.37185720186754e-32,3.12989560896668e-31,0,0,0,4019.39227084342,4624.87675147594,3425.44956650307
HOXC6,3837.44847779443,14.8011657664335,2.4731016031507,5.62268048174902e-32,1.24487847364831e-30,0,0,0,3367.93113826024,3933.10793168512,3082.77153100402
NR2F1,13078.9356209447,14.3284145285374,0.964035099098726,5.31768945296343e-45,1.91056985345758e-43,0,1.06979104468705,0.815642220826673,15997.6729067361,17392.0333883596,17221.733815119
HOXC8,1963.87636314147,14.1652465643251,2.50107661994672,8.32288974796821e-29,1.63372235833288e-27,0,0,0,2044.26659646681,2581.74558604723,1986.20181740708
HOXB7,2713.96504610474,13.9425085546825,2.46396460391368,1.22991051130139e-28,2.39668760168367e-27,0,0,0,2071.15473283522,2166.04078829386,1554.36095325392
HOXB8,6596.33380659396,13.6889568970384,2.41752652395712,7.79439693776079e-28,1.48033761781944e-26,0,0,0,1686.27026653313,1779.93726096875,1592.2884251441
PANTR1,3032.98248595171,13.657346693891,2.43530123816639,1.38918694516868e-27,2.60914271521997e-26,0,0,0,1725.45012238424,1548.91865045256,1608.2578869926
NEUROD4,2390.78563776852,13.2572818414245,2.43158657984671,5.49706721484421e-26,9.60182245145224e-25,0,0,0,1259.13301450924,1023.81785329042,1447.23248002024
TFAP2B,6140.07686280736,12.9708171733459,0.712564075084221,1.28267202637317e-71,9.6251230473205e-70,0,3.20937313406114,1.63128444165335,14432.7833700947,15193.1738002431,15686.0039006883
TBX2,164.101915369104,12.8464259685224,2.76003686490048,2.11941484065697e-22,3.13404697062147e-21,0,0,0,737.503168962096,915.708865639385,572.23904957122
HOXD4,565.227649998615,12.7843925296218,2.48693588469636,5.9962285560457e-24,9.55124144860085e-23,0,0,0,924.951891073295,916.995877397135,742.579975955211
GUCY1A1,1155.10191124079,12.6575314739815,2.45917940944194,9.11916847314184e-24,1.43974630449918e-22,0,0,0,805.875858584624,797.947289805226,810.450188811332
HOXC9,1792.47703433499,12.5992238670919,2.41452322852329,6.55291292574434e-24,1.04173517484228e-22,0,0,0,837.373389759046,880.31604230125,678.702128561214
HOXA3,474.154678564712,12.4481794512132,2.47703832023068,5.7160620084211e-23,8.71679148152971e-22,0,0,0,631.487088423795,765.128489982592,664.728849443777
NR2F2,13401.1961232005,12.4438182572662,0.619696243060762,9.16257992844003e-87,9.30478779357544e-85,1.44581619947156,2.13958208937409,2.44692666248002,11732.4462462387,12629.4463788043,12991.8226079978
HOXA9,2602.8852220798,12.2609632323035,2.38547410738869,1.04819081299955e-22,1.57091986275984e-21,0,0,0,705.237405320004,667.315596393564,581.554568982844
HOXC-AS2,596.476211996988,11.8164682781937,2.43415355651792,1.56070077652854e-20,2.09604002494813e-19,0,0,0,470.926502681005,545.04947940728,388.590238313479
EMCN,72.9544495202965,11.6418461825438,3.18630578383261,2.55974446265505e-10,1.73043455988642e-09,0,0,0,455.561853327628,454.958656364754,173.667897602428
